tweet,Hate_Speech
"@RexHuppke Ah fuck him, sounds like he'll be dead soon.",0
@mariaaraujo98 @Val_Voshchevska @angelasingh24 @nytimes .....yes we want to wait till they are 12-18 yeaers to kill them with a bullit.....,1
@GenePark @myhlee @PostBaron @mboorstein Don't Catholics believe that they can 'pray away the gay'? What about pray away the pedophilia?,0
@peterbakernyt Sanders can choke on his dandruff.,0
@realDonaldTrump @FoxNews Fox News aka the Trump Network you mean … yeah its where the white people hang out …,0
@RobProvince @cnni American citizens kill American citizens more.,0
@Jxf7rey @bettycuckooper @rglfm5 @guardian But that is literally because a huge portion of society think women can’… https://t.co/L1lA1CKr7w,0
@ABC @jonkarl Love the soldier hate the vet sad,0
@SkyNews @skysarahjane Dogs Are Not Ugly And Smelly It's Sky News What's Ugly On About The Young Women All The Time.,0
"RT @monvalpa: He leído esta investigación hecha crónica de @gabrielawiener y @disalch, y he quedado impactada. Extremadamente aterrador, no…",0
"@RexHuppke “old, racist *rich* white men.”",0
@AynRandPaulRyan @realDonaldTrump @FoxNews Total bullshit,0
@AKurmanaev What an ugly office ...,0
@FoxNews @RealCandaceO But you're an idiot do who cares what you think,0
@MollyJongFast She’s gonna have a blast in la la land. Wish I was out that way so I could find her out somewhere an… https://t.co/uRBUpPGm1g,0
@MailOnline 🇬🇧 Sajid Javid was right with his words. There's no place in the UK for these Evil sick Asian Pedos. Pi… https://t.co/3LqNXl8p2N,0
@butcher9bob @FoxNews @SenJohnMcCain @SenSchumer Bc continuing to honor a racist white supremacists is really great 🤦🏻‍♀️,0
@FoxNews Here is another example of a white liberal @maxkellerman telling a black man @TigerWoods how he should thi… https://t.co/9ZrRNTluzi,0
"Home Office refusing asylum to growing number of #child slavery victims, figures show https://t.co/sE4FHJdMpa via @Independent",0
@DAaronovitch When you tell the truth it will always upset those wishing to be ignorant of it.,0
"RT @tom_peters: The Excellence Dividend/The Nine ""Number Ones"" https://t.co/Voxmf4i9Md",0
@boey_____ @cnni There are so many of them. You'll find you like for sure😉,0
@Jskorn @kelli_kay1916 @FrankFigliuzzi1 @MSNBC @JimInhofe Please do not send them back. We're just fine without them.,0
@DanaShepperd @matthewjdowd @Liz_Cheney @HillaryClinton @SenKamalaHarris @washingtonpost Nope.  Sorry.  #TryAgain ¯\_(ツ)_/¯,0
@culliganmanjohn @Reuters John must be okay with the rape of children. Sick. And the only pope forced out was Benedict.,0
"@NBCNews @Local4News He shouldn't be allowed to attend! He's a disrespectful, childish moron, who can't keep common… https://t.co/vUx8vusI1w",0
RT @sexgenderbody: ANOTHER White Christians male murderer: protect our borders - deport white men!!! @CNN https://t.co/RfOKRKuueA,1
@Nick_k1aus @CNNPolitics Dear white people Africa is not a country like @CNN you can't even say the place she will be visiting in Africa,0
"@ndtv Ram jath melani on the gang of crooks n rascals namely Modi shah n jaitley 
https://t.co/35jd009Mrw",0
"@RebeccaLMcLaug2 @CNNPolitics And you want the help of a man who filed bankruptcies for a bunch of his companies?

Really?",0
"Don't HOLD YOUR BREATH!

I believe @ABCnews @CBSnews @CNN @NBCNews MUST BE FRIGHTENED of this WHITE HOUSE or INEPT! https://t.co/24yQ3MuCNj",0
RT @Independent: Dad grades typo-filled council letter about his son missing school  https://t.co/RFnRERJ6tS,0
@IngrahamAngle @TheLocalSweden On your immigrant kick again today this is the only stretch your president has and @FoxNews,0
@TVAmy This doesn’t sound good at all Amy. Hoping for a safe return.,0
"@brianstelter @WriteSmitty Fox TV - If you're white, we're right. 😉",0
"How LeBron, Melania laid bare White House contradictions @CNNPolitics https://t.co/28qf4CGx9r",0
@WaltKostrzewski @Arba_It @NPR @philewing @GOP @SpeakerRyan @SenateMajLdr @SenateGOP @HouseGOP @VP @realDonaldTrump… https://t.co/0KGbxU8a2K,0
@JCherepski @FoxNews @DarrellIssa @realDonaldTrump Wow go back in your hole; you wanna dig dirt on any leading figu… https://t.co/KNBts318jB,0
"@koteshub @CNN Religion and politics should be kept separate.
Its strange that you believe your freedom to shoot so… https://t.co/JwxyTHcOja",0
@makeda1961 @CapehartJ Hate that too!,0
@Reuters @reuterspictures Stupid,0
@ABC @realDonaldTrump You were more sincere when you said Nazis were good people.,0
"@FoxNews Oh, White Nostalgia! You are so quaint!",0
@haaretzcom @rabbijilljacobs The left cloaks their racist ant Semitism as anti Zionism,0
@maddow Someone take him out already,1
@TIME @Claudiao1969 He doesn t hate gays. Tell them the true TIME,0
@GregBusch8 @CNNPolitics Well you're a dumb ass!,0
@suefew @Peston @jeremycorbyn he gets paid £20k to spew propaganda on Iranian state television so you are talking rubbish,0
"@drc573 @realDonaldTrump @SecPompeo @TuckerCarlson @FoxNews ThOsE RaCiSt AsShOlEs, I’lL gEt ThEm OnE dAy!",0
"STOP calling this a caravan.

THIS IS AN INVASION!!

What else do you call THOUSANDS of people illegally entering a… https://t.co/M2p24Nrtzo",0
"@Reuters So you can’t have white pride? Just Latin, Black, gay, etc? Are those all supremacy groups because they have pride?",0
忍野さら：猫耳ビキニでDVDイベント　猫のえさ食べ「おいしかった…」 https://t.co/czuQdKdDWB,0
@FoxNews @CynthiaNixon A very RICH dem Socialist !!  Give your millions to the poor.,0
@SpeakerRyan @uscapitol You should all be embarrassed and ashamed he should be honored he actually knew you reached… https://t.co/OgjV6SUcrb,0
@BBCNews @hendopolis What a stupid headline,0
@ivehadit6 @JRubinBlogger @Wahrhaftig Go burn some Nikes.,0
@CBSNews Bullshit.,0
