Mike,,id,created_at,text
A,56435,1.23489E+18,Tue Mar 03 17:28:36 +0000 2020,@DLoesch @GOPChairwoman She doesn’t mind profiting off of the “conspiracy” of a rigged election but you’d better believe that she will still defend the integrity of her party! Then again I wouldn’t want to be suicided either!
N,33313,1.23442E+18,Mon Mar 02 10:06:18 +0000 2020,@PatriciaHeaton Its like the Russian hoax if you say enough people will panic. Yes I'm worried about  CORONA virus but I'm also worried about a Bernie Sanders in the white house. I don't think there's a chance But anything can happen with voter fraud.  So November vote #2020KAG
N,197897,1.23561E+18,Thu Mar 05 16:37:58 +0000 2020,@marceline26293 @bwaymase voter suppression with the young people it’s awful
N,48972,1.23463E+18,Tue Mar 03 00:07:55 +0000 2020,"@fintancox @fiannafailparty The public do not want FF in government,they don't want ppl that propped up FG in government for the last 4 yrs and sat on the fence as FG ran health services into the ground, homeless figures broke records, and then the FF voting fraud in dail eireann."
N,193866,1.23557E+18,Thu Mar 05 14:29:12 +0000 2020,"The Untold Story of Super Tuesday... President Trump Trounces Vote Totals of All Past Incumbents in BLUE States!   @POTUS will be running against DNC voter fraud, not Joe or Bernie in November! https://t.co/4xz5nduBJI"
N,44066,1.23457E+18,Mon Mar 02 19:44:03 +0000 2020,Honestly probably a good way to do voter suppression on old people
N,65662,1.23504E+18,Wed Mar 04 03:18:44 +0000 2020,@seanhannity Shouldn’t think Trump is an easy win at all. Remember Hillary?  There will be so much voter fraud as well. But God willing Trump will win
N,136238,1.23527E+18,Wed Mar 04 18:14:57 +0000 2020,"You don't have to worry! Trump is staying in the White House!! I believe that the Voters are  seeing how corrupt the Democratic party is, with their voter fraud and the high taxes in California and New York!! Socialism leads to Communism! Trump and the Republican Party 3020!!"
N,180413,1.23541E+18,Thu Mar 05 03:44:39 +0000 2020,@DeedsWylie @kweansmom the lines in texas were caused by voter suppression and closing polling sites. lines in cali caused by incompetence. and the bern did not win big in cali and he isnt bringing young people to the polls
N,149053,1.2353E+18,Wed Mar 04 20:04:38 +0000 2020,"@TheInfamousMarv I know man! I don’t know what the hells going on down there! I know cats are active on the scene down there! But it seems like every time there’s voter suppression, someone didn’t check on certain laws! All kinds of issues to impede the voting process!"
N,125774,1.23524E+18,Wed Mar 04 16:20:07 +0000 2020,"@FOXLA At a polling center in Palms, LA the person who helped me couldn’t even locate my voter registration information (I’m a frequent voter) so I had to do a provisional ballot!  Terrible and voter suppression at that point"
N,132293,1.23526E+18,Wed Mar 04 17:29:32 +0000 2020,trump......WILL YOU SHUT THE FUCK UP!!!! This is OUR Democratic election not your russian rigged election!
N,44563,1.23457E+18,Mon Mar 02 20:11:04 +0000 2020,@marthamaccallum What will you do to combat voter fraud? The ONLY thing that could defeat you.
N,147659,1.23529E+18,Wed Mar 04 19:50:40 +0000 2020,"@ShpionRusskiy @VRKnyght @ChodesMcGoads @Slickhawk12 @shaunking Ok you're saying it's ok for the WHOLE @DNC to rarely if ever speak on it, for many many cable news appearances and press conferences to not get to it, but Stacy Abrams solo is the best effort against voter suppression and the @DNC isnt aiding by only false resistance? Lol sure"
A,9911,1.23418E+18,Sun Mar 01 18:14:03 +0000 2020,I believe that voter fraud should be punishable by death... Can you imagine teachers are showing illegals how to vote illegally they should be arrested you can see their faces where is the law https://t.co/eNW7qdnuUI
N,177253,1.23539E+18,Thu Mar 05 02:36:25 +0000 2020,@WalshFreedom Also massive voter suppression in college districts in states like Texas. And a huge percent are in college out of state which depending on the state doesn’t allow you to vote
N,31827,1.23436E+18,Mon Mar 02 06:26:10 +0000 2020,"I want a study on Bolivian dude’s toupee fraud. Someone told him that looked good on his head, and I want to know who! Study casting doubt on Bolivian election fraud triggers controversy https://t.co/DIs1VdYjvy https://t.co/jPMyKn7QK0"
N,143894,1.23528E+18,Wed Mar 04 19:16:10 +0000 2020,@ByrneT03 It’s called voter suppression. They make it difficult for poor and non-white people to vote.
N,64143,1.23501E+18,Wed Mar 04 01:03:47 +0000 2020,"There should be NO projections OR results reported until the very last polling place in the country is closed.... This is called voter suppression (election meddling). @FoxNews pulled this same shit during midterms... @realDonaldTrump Joe Biden wins Democratic presidential primary in North Carolina, Fox News projects via FOX NEWS"
N,123814,1.23523E+18,Wed Mar 04 16:01:14 +0000 2020,"@TamanishaJohn @LovesTheBern The DNC has been flexing their voter suppression muscles HARD in SC, IA, CA, TX...  They’re practically begging for the Green Party to get a threshold that makes them competitive in 2024."
N,193703,1.23557E+18,Thu Mar 05 14:23:47 +0000 2020,#VoterFraud perpetrated by the #Democrats Are California voters stupid OR do we have a massive voter fraud and election integrity issue in this state? I’ll discuss my findings on @foxandfriends in 10 mins. https://t.co/wRjlKeKI0A
N,213225,1.23575E+18,Fri Mar 06 02:21:23 +0000 2020,Anybody else sick to death of Muslim Council of Britain? Who brought voter fraud into UK - Labour Asian (ie Muslim ) boroughs look at Tower Hamlets or Oldham - grooming trafficking gangs &amp; terrorists attacks we’ve had  two since New Year just in UK alone try some humility
N,81062,1.23509E+18,Wed Mar 04 06:33:27 +0000 2020,@NikkiSchwab This is what voter suppression looks like. Head out to the lily white suburbs where all the boomers vote... I guarantee you won't see lines like this.
N,138057,1.23527E+18,Wed Mar 04 18:35:26 +0000 2020,"Holy shit.. If anyone knows of any bi-partisan reports on voter suppression over the years I'm really interested in how things like this end up happening because it's just not acceptable Texas voter says he waited ""a little bit over six hours"" to vote on Super Tuesday https://t.co/EJDToYtJnh https://t.co/4w639ixx4z"
N,67275,1.23507E+18,Wed Mar 04 05:01:57 +0000 2020,We need to make obvious changes to the election process.  - Limit money in politics - Nomination by popular vote - Ranked choice voting - End gerrymandering - Stop voter suppression - White people can't vote ever again
A,117756,1.23522E+18,Wed Mar 04 15:01:55 +0000 2020,"@realDonaldTrump ""The Democrat establishment"" is going to kick your vulgar imbecile ass out of the White House in November, jack. And it'll be overwhelming so forget any stupid notions about claiming ""voter fraud"" and staying put."
N,132363,1.23526E+18,Wed Mar 04 17:30:22 +0000 2020,@marclamonthill Closing polling stations in majority minority neighborhoods makes voter suppression in the Democratic Party very real!!
N,164553,1.23534E+18,Wed Mar 04 23:09:04 +0000 2020,Every time there’s a shooting Democrats call for gun control. Why don’t they call for voter ID every time there’s voter fraud.
N,27357,1.2343E+18,Mon Mar 02 02:04:05 +0000 2020,@PalmerReport Stacey Abrams a 77 yr old’s death away from the presidency?  I don’t think so.  She’s done a lot for voter suppression but isn’t ready for the presidency.   Lots of qualified options.  More likely Warren to unify far left and moderates.
N,126786,1.23524E+18,Wed Mar 04 16:29:27 +0000 2020,"@davidsess @thicklipjenner Gen-X &amp; Millennial AA's are down ballot voting &amp; staying home strategically if no black agenda is met. They have been ignored, called bots, accused of voter suppression because they asked for reciprocity. They have been presented with class-based generic policies over specificity"
N,135783,1.23527E+18,Wed Mar 04 18:10:08 +0000 2020,@HildaSolis Hilda Solis oddly quiet on the voter suppression that took place in LA County last night.
N,90321,1.23512E+18,Wed Mar 04 08:37:11 +0000 2020,"point of someone like Bernie running then if you want him to be like a standard Dem who tokenizes POC, women, LGBTQ. Furthermore, fucking accept that you will not win every demographic or region. And way to ignore the DNC shenanigans and mass voter suppression. It’s people like"
N,763,1.23392E+18,Sun Mar 01 01:05:13 +0000 2020,Oh please that has not been your sentiment! This. That's all we're saying.   From one of the most respected voices in the nation on election integrity. https://t.co/TntfvDawmC
N,58706,1.23493E+18,Tue Mar 03 20:04:29 +0000 2020,@yopasta @LACountyRRCC If @AlexPadilla4CA is guilty of intentional voter suppression should he go to prison?
N,164072,1.23534E+18,Wed Mar 04 23:01:34 +0000 2020,Because they are cheating! Every time there’s a shooting Democrats call for gun control. Why don’t they call for voter ID every time there’s voter fraud.
N,197910,1.23561E+18,Thu Mar 05 16:38:23 +0000 2020,"@RealCandaceO @BLEXIT Republicans depend on voter suppression and non-voters, so it makes sense that a red state would make it so difficult and discouraging to vote. They do this in black areas and this is a proof that Republican party is not for blacks"
N,208009,1.23569E+18,Thu Mar 05 22:18:19 +0000 2020,"@democratsrduhm @seanhannity it has been researched to death; just didn't happen, and why would all the illegal votes only be for one party? anyway, bye bye"
N,103939,1.23519E+18,Wed Mar 04 13:02:20 +0000 2020,"I don’t think I will ever understand what makes Biden so attractive to black voters Sooooo...Biden wins TX and pulls within 10 in CA.   @TheDemocrats voter suppression tactics, along with their constant, corrupt targeting of @BernieSanders on behalf of their wealthy donors seems to be succeeding...but only for now.   The party is conspiring to steal the race."
N,235233,1.23633E+18,Sat Mar 07 16:33:06 +0000 2020,"@US_Conspiracies As Trump has proven over and over again, he was well prepared ahead of the Covid-19 thing and I am sure that behind the scenes he has prepared for the obvious voter fraud the DemocRATs have planned for Nov. 2020"
N,200098,1.23562E+18,Thu Mar 05 17:43:32 +0000 2020,"SIZE OF CROWD: #1 truth never seen on fake news MSM DNC ""news"" refuses to show the crowds at TRUMP rallys. I have seen every single speech of TRUMP FOR YEARS on ""unbiased"" CSPAN never once did corrupt fake news MSM DNC show the actual crowds. because MSM DNC is a fraud. #Biden can’t get 50 people to show up. The amount of voter fraud it will take to steal the presidency from @realDonaldTrump is unprecedented in the annals of #Democrat chicanery. https://t.co/eKTej69pIq"
N,35639,1.23448E+18,Mon Mar 02 13:59:59 +0000 2020,@Jonathan_K_Cook This is what America stands for a fraudulent media and Pompeo promoted fake 'election fraud' campaign resulting in President Evo Morales being ousted by fascist US backed military. Israel welcomed by US backed regime. @Apintie @RanaGaza @magic10fm @surinamenews @MaddowApp
N,36745,1.23449E+18,Mon Mar 02 15:00:21 +0000 2020,"@StacyAbrams wants to be @VP, but remains silent over something as egregious as this?  And, poor @NeeraTanden is so distraught over minorities not being able to vote, she remains completely silent as well. The Democratic party is trying to suppress the vote with Republicans. Democrats silence on this is deafening   Where is Stacy Abrams? Remember when she claimed she will fight voter suppression then she joined CAP?  https://t.co/X1uqY8g8iv"
N,166211,1.23535E+18,Wed Mar 04 23:34:21 +0000 2020,"@mehdirhasan You’re ignoring anti-Clinton energy that helped Bernie then, voter suppression, sexism, Russian intervention, populist nationalist candidates prevailing in many countries as anti-immigration response, the historical unlikelihood of a party getting 3rd term, sexism, media fails..."
N,52834,1.23474E+18,Tue Mar 03 07:32:37 +0000 2020,"@legitngnews Former INEC CHAIRMAN 🤣🤣🤣..Baba this is not a case of ballot box or election rigging, Please rest sir."
N,113150,1.23521E+18,Wed Mar 04 14:24:00 +0000 2020,"We need a long-term strategy and focus on local, grassroots, and deep infrastructural change. The entire system just won't allow the changes that need to happen: money in politics, voter suppression &amp; disenfranchisement, gerrymandering, et al. 365 days, not once every four years."
N,200466,1.23562E+18,Thu Mar 05 17:55:27 +0000 2020,Illegal aliens vote. Are California voters stupid OR do we have a massive voter fraud and election integrity issue in this state? I’ll discuss my findings on @foxandfriends in 10 mins. https://t.co/wRjlKeKI0A
N,241077,1.23642E+18,Sat Mar 07 22:28:47 +0000 2020,@BWithFreedom @SkoczSteven Okay so voter suppression is fake then right?
N,48803,1.23463E+18,Mon Mar 02 23:57:23 +0000 2020,"who the fuck does bloomberg think he is showing up at a historically black church to do a political speech “Bloomberg addressed the congregation... in which he discussed voter suppression and the fight for civil rights. But roughly 10 minutes into his remarks, several in attendance rose from their seats and silently turned away from him.” #NotTodaySatan   https://t.co/O4tKb6IvbD"
N,218799,1.23593E+18,Fri Mar 06 14:24:42 +0000 2020,"This is voter intimidation. Peruse my threads for 100s of neoliberals using voter intimidation tactics.   I've been abused, insulted and told to fuck off and kill myself for stating that since I am not a Democrat I will never vote for Biden.   #VoterSuppression   @MarkRuffalo @fvkntk @teddy_cat1 @DavidAgStone @BrenMCO @ProudResister @JoeBiden @BernieSanders This isn’t just about 4 more years with the moron in the White House. His erosion of the institution, undermining of the free press and use of DoJ and senate as partisan tools erode the fabric of the republic. But hey, we’re all Trump supporters to you right?"
N,196799,1.2356E+18,Thu Mar 05 15:59:06 +0000 2020,"@MsAvaArmstrong Shaking my head at this, since Michigan has enough illegal voters already!   But, it's not Summertime in Martha Vineyards, so lets mingle with the little people."
N,38884,1.23452E+18,Mon Mar 02 16:24:54 +0000 2020,"More rethuglican voter suppression: Analysis “confirms what many activists have suspected: the places where the black and Latinx population is growing by the largest numbers have experienced the vast majority of the state’s poll site closures.” https://t.co/2Hua0ppAPD Texans, don't be sidelined by the GOP's attempts to suppress, cheat &amp; steal. Be overcomers. VOTE ANYWAY. There's too much at stake not to.   https://t.co/9C413wOT2p"
